xflr5 v6.39

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.040 e 6     Ncrit =   1.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -8.000,-0.0539, 0.12233, 0.11410,-0.0488,0.8255,0.0094,-1.2880, 0.0000,-0.7295
 -7.500,-0.0221, 0.11590, 0.10756,-0.0540,0.7635,0.0093,-1.2991, 0.0000,-2.3688
 -7.000, 0.0231, 0.10841, 0.09978,-0.0625,0.7044,0.0092,-1.3055, 0.0000, 3.1135
 -6.500, 0.0662, 0.10152, 0.09247,-0.0703,0.6443,0.0091,-1.3133, 0.0000, 1.3654
 -6.000, 0.0906, 0.09653, 0.08718,-0.0734,0.5992,0.0090,-1.3297, 0.0000, 1.0970
 -5.000, 0.1089, 0.08913, 0.07947,-0.0723,0.5384,0.0089,-1.3785, 0.0000, 0.9381
 -4.500, 0.1128, 0.08572, 0.07605,-0.0707,0.5187,0.0089,-1.4086, 0.0000, 0.8968
 -4.000, 0.1215, 0.08184, 0.07218,-0.0704,0.5010,0.0089,-1.4373, 0.0000, 0.8450
 -3.500, 0.1345, 0.07764, 0.06799,-0.0712,0.4859,0.0089,-1.4654, 0.0000, 0.7914
 -3.000, 0.1544, 0.07304, 0.06341,-0.0739,0.4714,0.0090,-1.4928, 0.0000, 0.7371
 -2.500, 0.1852, 0.06791, 0.05823,-0.0793,0.4583,0.0091,-1.5187, 0.0000, 0.6834
 -2.000, 0.2373, 0.06166, 0.05189,-0.0901,0.4468,0.0104,-1.5444, 0.0000, 0.6325
 -1.500, 0.3874, 0.04861, 0.03835,-0.1283,0.4317,0.0185,-1.7099, 0.0000, 0.5819
 -1.000, 0.6660, 0.03531, 0.02260,-0.1884,0.4144,0.0198,-1.6422, 0.0000, 0.5322
 -0.500, 0.7699, 0.03382, 0.02021,-0.1995,0.4063,0.0209,-1.3877, 0.0000, 0.5076
  0.000, 0.8540, 0.03346, 0.01922,-0.2059,0.3988,0.0249,-1.2560, 0.0000, 0.4887
  1.000, 1.0011, 0.03383, 0.01953,-0.2147,0.3819,0.2401,-1.3913, 0.0000, 0.4603
  1.500, 1.0571, 0.03453, 0.01994,-0.2148,0.3740,0.2613,-1.4488, 0.0000, 0.4482
  2.000, 1.1106, 0.03538, 0.02051,-0.2145,0.3667,0.2777,-1.5093, 0.0000, 0.4374
  2.500, 1.1626, 0.03631, 0.02133,-0.2140,0.3613,0.2922,-1.5690, 0.0000, 0.4275
  3.000, 1.2126, 0.03737, 0.02230,-0.2133,0.3567,0.3182,-1.6275, 0.0000, 0.4185
  3.500, 1.2610, 0.03852, 0.02355,-0.2123,0.3525,0.3448,-1.6848, 0.0000, 0.4101
  4.000, 1.3067, 0.03981, 0.02484,-0.2110,0.3483,0.3796,-1.7405, 0.0000, 0.4024
  4.500, 1.3511, 0.04123, 0.02645,-0.2097,0.3430,0.4263,-1.7940, 0.0000, 0.3952
  5.000, 1.3915, 0.04284, 0.02835,-0.2078,0.3366,0.4881,-1.8504, 0.0000, 0.3885
  5.500, 1.4274, 0.04462, 0.03049,-0.2053,0.3307,0.5796,-1.9026, 0.0000, 0.3822
  6.500, 1.4767, 0.04873, 0.03542,-0.1973,0.3224,1.0000,-1.9946, 0.0000, 0.3702
  7.000, 1.5008, 0.05157, 0.03837,-0.1940,0.3177,1.0000,-2.0454, 0.0000, 0.3649
  7.500, 1.5173, 0.05521, 0.04222,-0.1906,0.3120,1.0000,-2.0906, 0.0000, 0.3603
  8.000, 1.5166, 0.06088, 0.04837,-0.1870,0.3043,1.0000,-2.1135, 0.0000, 0.3571
  8.500, 1.4990, 0.06899, 0.05699,-0.1841,0.2969,1.0000,-2.1081, 0.0000, 0.3556
  9.000, 1.4680, 0.07968, 0.06815,-0.1831,0.2879,1.0000,-2.0798, 0.0000, 0.3566
  9.500, 1.3901, 0.10022, 0.08930,-0.1876,0.2673,1.0000,-1.9470, 0.0000, 0.3662
 10.000, 1.3804, 0.10940, 0.09867,-0.1889,0.2566,1.0000,-1.9446, 0.0000, 0.3672
 10.500, 1.3567, 0.12116, 0.11066,-0.1919,0.2409,1.0000,-1.9073, 0.0000, 0.3711
 11.000, 1.3580, 0.12844, 0.11809,-0.1933,0.2309,1.0000,-1.9272, 0.0000, 0.3710
 11.500, 1.3602, 0.13559, 0.12537,-0.1950,0.2201,1.0000,-1.9516, 0.0000, 0.3711
 12.000, 1.3588, 0.14342, 0.13339,-0.1975,0.2071,1.0000,-1.9723, 0.0000, 0.3721
 12.500, 1.3733, 0.14812, 0.13821,-0.1985,0.1992,1.0000,-2.0398, 0.0000, 0.3701
 13.000, 1.3728, 0.15623, 0.14649,-0.2015,0.1861,1.0000,-2.0664, 0.0000, 0.3715
 13.500, 1.3848, 0.16181, 0.15255,-0.2031,0.1773,1.0000,-2.1326, 0.0000, 0.3702
 14.000, 1.3961, 0.16771, 0.15859,-0.2049,0.1692,1.0000,-2.1953, 0.0000, 0.3691
 14.500, 1.4006, 0.17539, 0.16647,-0.2077,0.1571,1.0000,-2.2321, 0.0000, 0.3697
 15.000, 1.4156, 0.18045, 0.17168,-0.2091,0.1497,1.0000,-2.3089, 0.0000, 0.3678
 15.500, 1.4183, 0.18907, 0.18049,-0.2124,0.1394,1.0000,-2.3324, 0.0000, 0.3687
 16.000, 1.4277, 0.19578, 0.18737,-0.2147,0.1295,1.0000,-2.3856, 0.0000, 0.3681
 16.500, 1.4356, 0.20312, 0.19488,-0.2172,0.1223,1.0000,-2.4285, 0.0000, 0.3678
 17.000, 1.4373, 0.21249, 0.20446,-0.2208,0.1119,1.0000,-2.4556, 0.0000, 0.3690
 17.500, 1.4476, 0.21902, 0.21113,-0.2228,0.1040,1.0000,-2.5292, 0.0000, 0.3680
 18.000, 1.4449, 0.23026, 0.22284,-0.2270,0.0960,1.0000,-2.5255, 0.0000, 0.3701
 18.500, 1.4494, 0.23886, 0.23164,-0.2299,0.0881,1.0000,-2.5657, 0.0000, 0.3703
 19.000, 1.4476, 0.24986, 0.24281,-0.2337,0.0798,1.0000,-2.5655, 0.0000, 0.3719
 19.500, 1.4448, 0.26128, 0.25446,-0.2373,0.0747,1.0000,-2.5535, 0.0000, 0.3735
 20.000, 1.4460, 0.27090, 0.26428,-0.2400,0.0696,1.0000,-2.5727, 0.0000, 0.3739
 20.500, 1.4341, 0.28521, 0.27876,-0.2441,0.0619,1.0000,-2.5157, 0.0000, 0.3770
 21.000, 1.4230, 0.29831, 0.29209,-0.2469,0.0569,1.0000,-2.4842, 0.0000, 0.3792


