xflr5 v6.39

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   1.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-13.500,-0.1560, 0.16178, 0.15695,-0.0545,0.9646,0.0082,-1.5091, 0.0000,-0.1456
-13.000,-0.1369, 0.15653, 0.15169,-0.0568,0.9598,0.0077,-1.4985, 0.0000,-0.2157
-12.500,-0.1257, 0.15166, 0.14687,-0.0565,0.9505,0.0075,-1.4828, 0.0000,-0.2528
-12.000,-0.1148, 0.14698, 0.14224,-0.0563,0.9366,0.0074,-1.4745, 0.0000,-0.2959
-11.500,-0.1021, 0.14215, 0.13745,-0.0566,0.9189,0.0073,-1.4678, 0.0000,-0.3638
-11.000,-0.0844, 0.13687, 0.13219,-0.0584,0.8987,0.0072,-1.4626, 0.0000,-0.5109
-10.500, 0.1171, 0.11449, 0.10764,-0.1147,0.5804,0.0069,-1.3593, 0.0000, 1.2927
-10.000, 0.1443, 0.10956, 0.10231,-0.1189,0.5115,0.0068,-1.3601, 0.0000, 1.1245
 -9.500, 0.1637, 0.10511, 0.09769,-0.1206,0.4779,0.0067,-1.3685, 0.0000, 1.0295
 -9.000, 0.1808, 0.10082, 0.09332,-0.1216,0.4577,0.0066,-1.3813, 0.0000, 0.9594
 -8.500, 0.1962, 0.09665, 0.08913,-0.1220,0.4458,0.0066,-1.3981, 0.0000, 0.9041
 -8.000, 0.2102, 0.09261, 0.08509,-0.1221,0.4369,0.0065,-1.4188, 0.0000, 0.8587
 -7.500, 0.2230, 0.08866, 0.08116,-0.1217,0.4283,0.0064,-1.4435, 0.0000, 0.8205
 -7.000, 0.2338, 0.08486, 0.07737,-0.1209,0.4206,0.0064,-1.4726, 0.0000, 0.7885
 -6.500, 0.2425, 0.08120, 0.07371,-0.1195,0.4145,0.0063,-1.5054, 0.0000, 0.7617
 -6.000, 0.2484, 0.07767, 0.07025,-0.1174,0.4087,0.0062,-1.5458, 0.0000, 0.7394
 -5.500, 0.2500, 0.07439, 0.06703,-0.1144,0.4031,0.0062,-1.5928, 0.0000, 0.7221
 -5.000, 0.2457, 0.07141, 0.06415,-0.1100,0.3976,0.0062,-1.6472, 0.0000, 0.7106
 -4.500, 0.2491, 0.06767, 0.06048,-0.1079,0.3922,0.0061,-1.7045, 0.0000, 0.6939
 -4.000, 0.2592, 0.06347, 0.05632,-0.1079,0.3870,0.0061,-1.7673, 0.0000, 0.6749
 -3.500, 0.2801, 0.05851, 0.05137,-0.1110,0.3814,0.0061,-1.8395, 0.0000, 0.6530
 -3.000, 0.3217, 0.05211, 0.04494,-0.1200,0.3748,0.0061,-1.9305, 0.0000, 0.6277
 -2.000, 0.8242, 0.02031, 0.00999,-0.2419,0.3504,0.0088,-2.0182, 0.0000, 0.5446
 -1.500, 0.8899, 0.02017, 0.00965,-0.2440,0.3462,0.0148,-1.5802, 0.0000, 0.5243
 -1.000, 0.9619, 0.01991, 0.00913,-0.2474,0.3424,0.0153,-1.3201, 0.0000, 0.5063
 -0.500, 1.0289, 0.01988, 0.00885,-0.2496,0.3387,0.0158,-1.3868, 0.0000, 0.4909
  0.000, 1.0913, 0.01999, 0.00877,-0.2508,0.3351,0.0166,-1.4512, 0.0000, 0.4772
  0.500, 1.1512, 0.02020, 0.00887,-0.2514,0.3316,0.0200,-1.5145, 0.0000, 0.4649
  1.000, 1.2215, 0.02021, 0.00939,-0.2548,0.3273,0.2147,-1.5861, 0.0000, 0.4543
  1.500, 1.2740, 0.02069, 0.00973,-0.2538,0.3215,0.2221,-1.6495, 0.0000, 0.4441
  2.000, 1.3251, 0.02123, 0.01015,-0.2527,0.3164,0.2294,-1.7140, 0.0000, 0.4347
  2.500, 1.3765, 0.02173, 0.01067,-0.2516,0.3140,0.2409,-1.7790, 0.0000, 0.4260
  3.000, 1.4280, 0.02224, 0.01121,-0.2506,0.3120,0.2562,-1.8443, 0.0000, 0.4178
  3.500, 1.4780, 0.02280, 0.01179,-0.2492,0.3098,0.2670,-1.9087, 0.0000, 0.4102
  4.000, 1.5269, 0.02340, 0.01244,-0.2478,0.3069,0.2783,-1.9727, 0.0000, 0.4029
  4.500, 1.5747, 0.02405, 0.01315,-0.2462,0.3018,0.2944,-2.0364, 0.0000, 0.3961
  5.000, 1.6208, 0.02474, 0.01404,-0.2443,0.2963,0.3243,-2.1017, 0.0000, 0.3896
  5.500, 1.6659, 0.02548, 0.01490,-0.2423,0.2928,0.3641,-2.1700, 0.0000, 0.3835
  6.000, 1.7098, 0.02628, 0.01586,-0.2401,0.2894,0.4162,-2.2426, 0.0000, 0.3776
  6.500, 1.7523, 0.02716, 0.01693,-0.2378,0.2861,0.4863,-2.3207, 0.0000, 0.3719
  7.000, 1.7935, 0.02810, 0.01811,-0.2353,0.2824,0.5737,-2.4096, 0.0000, 0.3664
  7.500, 1.8344, 0.02893, 0.01935,-0.2327,0.2772,0.7558,-2.4993, 0.0000, 0.3611
  8.000, 1.8637, 0.02977, 0.02060,-0.2280,0.2708,1.0000,-2.5904, 0.0000, 0.3556
  8.500, 1.8959, 0.03111, 0.02204,-0.2241,0.2608,1.0000,-2.7022, 0.0000, 0.3505
  9.000, 1.9228, 0.03272, 0.02372,-0.2196,0.2503,1.0000,-2.8402, 0.0000, 0.3455
  9.500, 1.9483, 0.03453, 0.02562,-0.2152,0.2363,1.0000,-2.9777, 0.0000, 0.3406
 10.000, 1.9675, 0.03677, 0.02795,-0.2101,0.2244,1.0000,-3.1055, 0.0000, 0.3359
 10.500, 1.9838, 0.03937, 0.03066,-0.2050,0.2083,1.0000,-3.2290, 0.0000, 0.3314
 11.000, 1.9863, 0.04315, 0.03447,-0.1988,0.1870,1.0000,-3.3271, 0.0000, 0.3270
 11.500, 1.9816, 0.04789, 0.03942,-0.1928,0.1682,1.0000,-3.4098, 0.0000, 0.3231
 12.000, 1.9717, 0.05361, 0.04528,-0.1876,0.1513,1.0000,-3.4800, 0.0000, 0.3197
 12.500, 1.9525, 0.06113, 0.05298,-0.1835,0.1347,1.0000,-3.5266, 0.0000, 0.3174
 13.000, 1.9241, 0.07090, 0.06297,-0.1813,0.1203,1.0000,-3.5470, 0.0000, 0.3163
 13.500, 1.8896, 0.08267, 0.07501,-0.1814,0.1077,1.0000,-3.5496, 0.0000, 0.3168


