xflr5 v6.39

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.120 e 6     Ncrit =   1.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -1.000, 0.9353, 0.02180, 0.01044,-0.2418,0.3510,0.0160,-1.3202, 0.0000, 0.5077
 -0.500, 1.0045, 0.02172, 0.01004,-0.2446,0.3468,0.0165,-1.3670, 0.0000, 0.4918
  0.000, 1.0698, 0.02179, 0.00990,-0.2464,0.3432,0.0175,-1.4327, 0.0000, 0.4778
  0.500, 1.1344, 0.02191, 0.00995,-0.2481,0.3397,0.0326,-1.4986, 0.0000, 0.4653
  1.000, 1.2033, 0.02198, 0.01049,-0.2512,0.3360,0.2214,-1.5685, 0.0000, 0.4545
  1.500, 1.2569, 0.02245, 0.01082,-0.2505,0.3319,0.2293,-1.6317, 0.0000, 0.4442
  2.000, 1.3086, 0.02298, 0.01124,-0.2494,0.3261,0.2391,-1.6962, 0.0000, 0.4347
  2.500, 1.3592, 0.02357, 0.01182,-0.2483,0.3206,0.2552,-1.7604, 0.0000, 0.4259
  3.000, 1.4081, 0.02420, 0.01238,-0.2468,0.3172,0.2666,-1.8235, 0.0000, 0.4176
  3.500, 1.4560, 0.02486, 0.01301,-0.2451,0.3146,0.2772,-1.8858, 0.0000, 0.4099
  4.000, 1.5048, 0.02550, 0.01372,-0.2436,0.3124,0.2927,-1.9490, 0.0000, 0.4026
  4.500, 1.5527, 0.02619, 0.01452,-0.2421,0.3097,0.3213,-2.0117, 0.0000, 0.3958
  5.000, 1.5992, 0.02694, 0.01551,-0.2404,0.3048,0.3575,-2.0776, 0.0000, 0.3893
  5.500, 1.6443, 0.02775, 0.01649,-0.2384,0.2994,0.4040,-2.1453, 0.0000, 0.3831
  6.000, 1.6885, 0.02862, 0.01757,-0.2364,0.2957,0.4684,-2.2176, 0.0000, 0.3772
  6.500, 1.7310, 0.02956, 0.01876,-0.2342,0.2921,0.5507,-2.2941, 0.0000, 0.3715
  7.000, 1.7709, 0.03054, 0.02007,-0.2314,0.2886,0.6781,-2.3804, 0.0000, 0.3660
  7.500, 1.7964, 0.03140, 0.02123,-0.2259,0.2840,1.0000,-2.4524, 0.0000, 0.3601
  8.000, 1.8330, 0.03267, 0.02285,-0.2229,0.2788,1.0000,-2.5465, 0.0000, 0.3549
  8.500, 1.8665, 0.03408, 0.02445,-0.2194,0.2723,1.0000,-2.6493, 0.0000, 0.3499
  9.000, 1.8945, 0.03572, 0.02625,-0.2152,0.2629,1.0000,-2.7831, 0.0000, 0.3449
  9.500, 1.9158, 0.03774, 0.02838,-0.2103,0.2530,1.0000,-2.9116, 0.0000, 0.3400
 10.000, 1.9367, 0.03995, 0.03078,-0.2056,0.2407,1.0000,-3.0406, 0.0000, 0.3354
 10.500, 1.9495, 0.04276, 0.03373,-0.2003,0.2282,1.0000,-3.1561, 0.0000, 0.3309
 11.000, 1.9592, 0.04601, 0.03715,-0.1951,0.2161,1.0000,-3.2658, 0.0000, 0.3266
 11.500, 1.9534, 0.05072, 0.04214,-0.1893,0.1979,1.0000,-3.3452, 0.0000, 0.3228
 12.000, 1.9413, 0.05662, 0.04822,-0.1843,0.1807,1.0000,-3.4091, 0.0000, 0.3196


